Timestamp,Normalized X,Normalized Y,On Screen,Awake
1700346388.1186707,960.0,540.0,True,True
1700346388.1806798,960.0,540.0,True,True
1700346388.2476633,960.0,0.0,True,True
1700346388.3116722,720.0,540.0,True,True
1700346388.3736744,960.0,540.0,True,True
1700346388.4356935,720.0,540.0,True,True
1700346388.503673,720.0,0.0,True,True
1700346388.5646749,960.0,540.0,True,True
1700346388.6286829,720.0,0.0,True,True
1700346388.6897056,720.0,0.0,True,True
1700346388.7536733,960.0,540.0,True,True
1700346388.8177657,720.0,0.0,True,True
1700346388.8808842,720.0,540.0,True,True
1700346388.9466767,960.0,0.0,True,True
1700346389.0116918,960.0,0.0,True,True
1700346389.0737174,720.0,540.0,True,True
1700346389.1347547,720.0,0.0,True,True
1700346389.199664,960.0,540.0,True,True
1700346389.2687786,720.0,540.0,True,True
1700346389.3416774,240.0,1080.0,True,True
1700346389.404756,-0.0,1080.0,True,True
1700346389.4677546,-0.0,540.0,True,True
1700346389.534679,-0.0,1080.0,True,True
1700346389.5997612,-0.0,1620.0,False,True
1700346389.668799,-0.0,1080.0,True,True
1700346389.7417045,-0.0,1080.0,True,True
1700346389.8076777,-0.0,1080.0,True,True
1700346389.883664,-0.0,1080.0,True,True
1700346389.9487038,-0.0,1080.0,True,True
1700346390.0107062,-0.0,1080.0,True,True
1700346390.0746827,-0.0,1620.0,False,True
1700346390.1416733,-240.0,1620.0,False,True
1700346390.217695,-240.0,1080.0,False,False
1700346390.2856636,-240.0,1620.0,False,False
1700346390.3606787,-240.0,1080.0,False,True
1700346390.4267595,-0.0,1620.0,False,False
1700346390.5496795,-0.0,1620.0,False,False
1700346390.6266894,-0.0,1620.0,False,False
1700346390.692757,-0.0,1620.0,False,False
1700346390.8927553,-1920.0,1620.0,False,False
1700346390.9606974,-1920.0,1080.0,False,True
1700346391.3496768,-1680.0,540.0,False,True
1700346391.523677,-1440.0,1080.0,False,True
1700346391.6536715,-1680.0,540.0,False,True
1700346391.7186797,-1440.0,540.0,False,True
1700346391.9707007,720.0,1080.0,True,True
1700346392.040677,720.0,2160.0,False,False
1700346392.101746,240.0,1620.0,False,False
1700346393.6067023,1680.0,-1080.0,False,True
1700346393.7336783,1440.0,-1620.0,False,True
1700346393.791673,1200.0,-1080.0,False,True
1700346394.3977861,-240.0,1080.0,False,True
1700346394.458869,-240.0,1080.0,False,True
1700346394.5257936,-240.0,1080.0,False,True
1700346394.6518116,-0.0,1080.0,True,True
1700346394.719883,-0.0,1080.0,True,True
1700346394.7838144,-0.0,540.0,True,True
1700346394.8507779,-0.0,1620.0,False,True
1700346394.9147754,-240.0,1620.0,False,True
1700346394.978788,-0.0,1080.0,True,True
1700346395.0448136,-0.0,1620.0,False,True
1700346395.1098175,-0.0,1080.0,True,True
1700346395.1777892,-0.0,1620.0,False,True
1700346395.2418785,720.0,540.0,True,True
1700346395.31781,720.0,540.0,True,True
1700346395.38483,480.0,540.0,True,True
1700346395.4528065,720.0,540.0,True,True
1700346395.5227876,720.0,540.0,True,True
1700346395.5887868,720.0,540.0,True,True
1700346395.6567893,720.0,540.0,True,True
1700346395.7247927,720.0,2160.0,False,True
1700346395.9788742,-240.0,2160.0,False,False
1700346397.468798,1920.0,540.0,True,True
1700346397.591798,1680.0,0.0,True,True
1700346397.6548772,1680.0,0.0,True,True
1700346397.7208223,1920.0,540.0,True,True
1700346397.7857838,1920.0,0.0,True,True
1700346397.8488748,1920.0,0.0,True,True
1700346397.911875,1920.0,0.0,True,True
1700346397.9778118,2160.0,1080.0,False,True
1700346398.0427942,1920.0,0.0,True,True
1700346398.1107955,2160.0,0.0,False,True
1700346398.1747868,1920.0,0.0,True,True
1700346398.249784,1680.0,-540.0,False,True
1700346398.315874,1680.0,-540.0,False,True
1700346398.3817763,1440.0,0.0,True,True
1700346398.4487965,1920.0,-540.0,False,True
1700346398.5177758,1920.0,-540.0,False,True
1700346398.5837848,1920.0,0.0,True,True
1700346398.6618097,1920.0,0.0,True,True
1700346398.7287915,1920.0,0.0,True,True
1700346398.7968087,2160.0,-540.0,False,True
1700346398.8627875,1920.0,-540.0,False,True
1700346398.9937916,1680.0,0.0,True,True
1700346399.0607884,960.0,0.0,True,True
1700346399.1288738,-0.0,1080.0,True,True
1700346399.8768198,-1920.0,1620.0,False,True
1700346399.9417899,-1680.0,2160.0,False,False
1700346400.004835,-2160.0,1620.0,False,True
1700346400.1907868,-1680.0,1080.0,False,True
1700346400.443791,1440.0,-2160.0,False,True
1700346400.5067832,1440.0,-2160.0,False,True
1700346400.569791,1440.0,-1620.0,False,True
1700346400.6328747,1440.0,-2160.0,False,True
1700346400.698787,1440.0,-1620.0,False,True
1700346400.761813,1440.0,-2160.0,False,True
1700346400.8268118,1440.0,-2160.0,False,True
1700346400.8918087,1680.0,-1620.0,False,True
1700346400.9568126,2160.0,-1080.0,False,True
1700346401.0227823,2400.0,-1080.0,False,True
1700346401.0888758,3840.0,1080.0,False,True
1700346401.1607862,3360.0,1080.0,False,True
1700346401.2358124,3600.0,1080.0,False,True
1700346401.3067913,3360.0,1080.0,False,True
1700346401.3747885,3360.0,1620.0,False,True
1700346401.4417896,480.0,1080.0,True,False
1700346401.5097885,720.0,1620.0,False,False
1700346401.576789,-0.0,1080.0,True,False
1700346401.6447866,720.0,1080.0,True,False
1700346401.7158308,480.0,1620.0,False,False
1700346401.781791,480.0,1080.0,True,True
1700346401.8488092,720.0,1620.0,False,False
1700346401.9237845,720.0,1620.0,False,False
1700346402.006788,720.0,1620.0,False,True
1700346402.0728734,480.0,1620.0,False,False
1700346402.1428182,720.0,1620.0,False,False
1700346402.20979,720.0,1080.0,True,True
1700346402.2798197,720.0,1080.0,True,True
1700346402.3467915,480.0,1080.0,True,False
1700346402.4177887,720.0,540.0,True,False
1700346402.4817886,720.0,0.0,True,True
1700346402.8508868,2160.0,-540.0,False,True
1700346402.914798,1920.0,0.0,True,True
1700346402.9788647,2400.0,0.0,False,True
1700346403.0428126,1440.0,0.0,True,True
1700346403.1077878,1440.0,0.0,True,True
1700346403.1708193,1440.0,0.0,True,True
1700346403.2378066,1440.0,0.0,True,True
1700346403.3167872,1680.0,-540.0,False,True
1700346403.3827858,1200.0,0.0,True,True
1700346403.447777,1440.0,0.0,True,True
1700346403.5157976,1920.0,540.0,True,True
1700346403.5837865,1440.0,540.0,True,True
1700346403.6517868,1200.0,540.0,True,True
1700346403.727786,1680.0,540.0,True,True
1700346403.7957876,1440.0,540.0,True,True
1700346403.9357877,1680.0,1080.0,True,True
1700346404.0037756,960.0,0.0,True,True
1700346404.076776,1200.0,540.0,True,True
1700346404.1447985,960.0,0.0,True,True
1700346404.2108681,960.0,0.0,True,True
1700346404.2828443,1200.0,540.0,True,True
1700346404.3518069,1200.0,540.0,True,True
1700346404.423786,960.0,540.0,True,True
1700346404.4898205,1200.0,0.0,True,True
1700346404.562787,960.0,0.0,True,True
1700346404.6337893,960.0,0.0,True,True
1700346404.7048092,960.0,540.0,True,True
1700346404.7767878,1200.0,0.0,True,True
1700346404.842789,720.0,540.0,True,True
1700346404.9127948,720.0,540.0,True,True
1700346404.9847887,720.0,0.0,True,True
1700346405.0577755,720.0,0.0,True,True
1700346405.1307771,960.0,0.0,True,True
1700346405.2037911,960.0,0.0,True,True
1700346405.2747862,960.0,0.0,True,True
1700346405.3537843,1200.0,540.0,True,True
1700346405.4377756,960.0,0.0,True,True
1700346405.5157769,960.0,540.0,True,True
1700346405.5877867,960.0,0.0,True,True
1700346405.6598206,1200.0,540.0,True,True
1700346405.7327895,720.0,0.0,True,True
1700346405.8118074,720.0,0.0,True,True
1700346405.8827972,720.0,0.0,True,True
1700346405.9528923,720.0,0.0,True,True
1700346406.035786,480.0,0.0,True,True
1700346406.102817,480.0,540.0,True,True
1700346406.174817,480.0,1080.0,True,True
1700346406.252785,480.0,1080.0,True,True
1700346406.319788,480.0,1080.0,True,True
1700346406.3847919,240.0,540.0,True,True
1700346406.4607854,480.0,540.0,True,True
1700346406.5277889,240.0,540.0,True,True
1700346406.592788,720.0,540.0,True,True
1700346406.6697896,480.0,540.0,True,True
1700346406.7377892,480.0,540.0,True,True
1700346406.803815,480.0,1080.0,True,True
1700346406.8748178,240.0,540.0,True,False
1700346406.951786,240.0,1080.0,True,False
1700346407.0167885,480.0,0.0,True,True
1700346407.0828166,480.0,0.0,True,True
1700346407.1587894,240.0,1080.0,True,True
1700346407.283873,480.0,540.0,True,True
1700346408.9425573,-0.0,0.0,True,True
1700346409.0055897,-240.0,540.0,False,True
1700346409.0655532,-0.0,0.0,True,True
1700346409.1264644,-0.0,0.0,True,True
1700346409.1905587,-0.0,540.0,True,True
1700346409.2544618,-0.0,540.0,True,True
1700346409.3174593,240.0,540.0,True,True
1700346409.388454,240.0,0.0,True,True
1700346409.4504733,-0.0,540.0,True,True
1700346409.5125215,-0.0,540.0,True,True
1700346409.5755792,240.0,540.0,True,True
1700346409.639469,240.0,1080.0,True,True
1700346409.7185483,-0.0,540.0,True,True
1700346409.7884626,960.0,2160.0,False,False
1700346409.8564787,1200.0,1620.0,False,False
1700346409.9225397,240.0,540.0,True,False
1700346409.988455,480.0,540.0,True,False
1700346410.0614533,480.0,540.0,True,True
1700346410.128509,480.0,540.0,True,True
1700346410.1954727,480.0,1080.0,True,True
1700346410.2624602,480.0,540.0,True,True
1700346410.3345695,480.0,540.0,True,True
1700346410.4114525,480.0,1080.0,True,True
1700346410.4824643,480.0,540.0,True,True
1700346410.5514631,480.0,540.0,True,True
1700346410.6204553,480.0,540.0,True,True
1700346410.7014637,480.0,540.0,True,True
1700346410.7734685,480.0,540.0,True,True
1700346410.8454592,480.0,1080.0,True,True
1700346410.9154534,480.0,1080.0,True,False
1700346410.9844534,720.0,1080.0,True,False
1700346411.0544543,960.0,1080.0,True,False
1700346411.1274562,1920.0,1620.0,False,False
1700346411.195455,1440.0,540.0,True,False
1700346411.268455,1680.0,1620.0,False,True
1700346411.3525906,1440.0,1620.0,False,True
1700346411.4265616,1440.0,1620.0,False,True
1700346411.9294543,-240.0,-540.0,False,True
1700346424.5253432,480.0,1620.0,False,True
1700346425.2064064,480.0,-1620.0,False,True
1700346425.2684107,960.0,540.0,True,True
1700346425.3264098,720.0,0.0,True,True
1700346425.3844364,720.0,540.0,True,True
1700346425.4474182,480.0,-540.0,False,True
1700346425.5075045,480.0,-540.0,False,True
1700346425.573408,720.0,-540.0,False,True
1700346425.6385016,480.0,0.0,True,True
1700346425.703518,-0.0,0.0,True,True
1700346425.7675066,240.0,540.0,True,True
1700346425.8323994,240.0,540.0,True,True
1700346425.8974385,-0.0,540.0,True,True
1700346425.9614105,-0.0,540.0,True,False
1700346426.0363975,240.0,540.0,True,False
1700346426.1024354,240.0,540.0,True,False
